years,area_id,unit_name,race,officer_cnt,officer_pct,civilian_cnt,community_pct,allegations_pc_val,total_num_officers
2010,1545,12TH,White,147,0.4349112426035503,51775,0.4049065840821466,0.002408715169431215,338
2010,1545,12TH,Hispanic,141,0.4171597633136095,42329,0.33103410521705806,0.002408715169431215,338
2010,1533,14TH,Black,21,0.07720588235294118,8027,0.06817679933411473,0.002157332382068661,272
2010,1533,14TH,Hispanic,123,0.4522058823529412,54039,0.4589767110023951,0.002157332382068661,272
2010,1533,14TH,White,111,0.40808823529411764,49809,0.4230494827498344,0.002157332382068661,272
2010,1533,14TH,Native American/Alaskan Native,3,0.011029411764705883,189,0.0016052591346888854,0.002157332382068661,272
2010,1547,15TH,Hispanic,85,0.25297619047619047,2265,0.03809411685559554,0.0060042382858488345,336
2010,1547,15TH,White,180,0.5357142857142857,959,0.016129032258064516,0.0060042382858488345,336
2010,1547,15TH,Black,56,0.16666666666666666,55468,0.9328938073934542,0.0060042382858488345,336
2010,1542,16TH,Hispanic,55,0.17027863777089783,45438,0.22777995007068308,0.0009825447910087126,323
2010,1542,16TH,Black,11,0.034055727554179564,2022,0.010136252894998045,0.0009825447910087126,323
2010,1542,16TH,White,241,0.7461300309597523,138045,0.692017324871417,0.0009825447910087126,323
2010,1527,17TH,Native American/Alaskan Native,1,0.0036900369003690036,321,0.0022276815456362424,0.0011034310459693537,271
2010,1527,17TH,Hispanic,87,0.3210332103321033,62232,0.43187874750166555,0.0011034310459693537,271
2010,1527,17TH,Black,15,0.055350553505535055,4782,0.033186209193870754,0.0011034310459693537,271
2010,1527,17TH,White,151,0.5571955719557196,55743,0.3868462691538974,0.0011034310459693537,271
2010,1544,18TH,Black,63,0.17897727272727273,10681,0.09125861877461744,0.0030758452166334874,352
2010,1544,18TH,Native American/Alaskan Native,1,0.002840909090909091,108,0.0009227535649900462,0.0030758452166334874,352
2010,1544,18TH,White,208,0.5909090909090909,88418,0.7554446732341658,0.0030758452166334874,352
